record_type,scale,spearman_rho,spearman_p,spearman_p_holm,rho_ci_lo,rho_ci_hi,pearson_r,pearson_p,pair_alignment_min,loo_min_cosine,axis_bootstrap_q025_cosine,n_screen,n_held_out,n_clear_dominance,classification_accuracy,permutation_null_mean,permutation_exceedances,permutation_p,standardised_projection_accuracy,g2_exceed_count,g2_directional_cells,g2_max_excess,partial_max_abs,gram_max_off_diagonal,template_min_cosine,reversed_pair_mean_cosine
scale,IE,0.8052916239963938,1.6371318197356214e-60,6.548527278942486e-60,0.7565660590643652,0.8449269865795676,0.7832086178545228,3.591560804326856e-55,0.32108719228111215,0.9690413818544523,0.7334291695843927,,,,,,,,,,,,,,,
scale,SN,0.5837331545979129,3.839413813270604e-25,3.839413813270604e-25,0.4900350994828336,0.6644106406007321,0.5976951276442537,1.4276486893440438e-26,0.3798844089622753,0.9586873654350847,0.671585425561324,,,,,,,,,,,,,,,
scale,FT,0.7490230425851474,4.9352261573300326e-48,1.4805678471990098e-47,0.6882954022353903,0.7998847736046663,0.7420326585730294,1.028123232623204e-46,0.2875829543295238,0.9581994019110809,0.6627094739139062,,,,,,,,,,,,,,,
scale,JP,0.7257955945529312,8.253445583912901e-44,1.6506891167825802e-43,0.653772135839555,0.7843920454050627,0.772122261312653,1.0142130482397467e-52,0.34767946120466525,0.966321274197344,0.7117896162206592,,,,,,,,,,,,,,,
overall,ALL,,,,,,,,,,,297.0,260.0,215.0,0.6139534883720931,0.2888939534883721,0.0,0.0001999600079984003,0.5767441860465117,5.0,12.0,0.11732802739746842,0.3475272746574441,0.10966213563278744,0.9114301774074546,1.0
